iter	Passed	Remaining
0	163	162880
1	164	82222
2	167	55664
3	169	42162
4	170	33995
5	172	28534
6	173	24658
7	175	21739
8	177	19492
9	178	17658
10	181	16357
11	183	15146
12	185	14101
13	187	13218
14	189	12443
15	191	11777
16	193	11169
17	194	10633
18	197	10191
19	198	9750
20	200	9345
21	201	8977
22	203	8644
23	205	8349
24	206	8069
25	208	7812
26	212	7648
27	214	7432
28	215	7224
29	217	7028
30	219	6855
31	221	6686
32	222	6522
33	224	6392
34	227	6268
35	228	6130
36	230	6001
37	232	5883
38	234	5766
39	235	5650
40	237	5545
41	238	5443
42	240	5354
43	242	5275
44	244	5187
45	245	5101
46	247	5021
47	249	4944
48	251	4872
49	252	4804
50	254	4736
51	258	4706
52	260	4646
53	262	4593
54	263	4529
55	267	4509
56	269	4456
57	272	4433
58	274	4380
59	276	4336
60	278	4285
61	279	4231
62	281	4179
63	282	4133
64	284	4089
65	287	4061
66	288	4023
67	290	3982
68	292	3947
69	294	3907
70	295	3868
71	297	3828
72	298	3792
73	300	3763
74	303	3747
75	305	3719
76	307	3687
77	309	3653
78	310	3623
79	312	3591
80	313	3559
81	318	3566
82	319	3529
83	320	3498
84	322	3469
85	324	3443
86	326	3422
87	327	3394
88	329	3369
89	332	3360
90	334	3336
91	335	3314
92	337	3292
93	340	3278
94	342	3259
95	343	3235
96	344	3211
97	347	3199
98	349	3182
99	351	3162
100	353	3142
101	354	3122
102	356	3101
103	358	3085
104	360	3069
105	363	3064
106	365	3048
107	366	3029
108	368	3012
109	370	2993
110	371	2976
111	373	2957
112	375	2945
113	377	2937
114	380	2928
115	382	2913
116	383	2895
117	385	2879
118	386	2864
119	388	2852
120	391	2845
121	393	2834
122	396	2829
123	398	2818
124	401	2811
125	403	2800
126	405	2787
127	408	2782
128	411	2780
129	414	2774
130	416	2761
131	420	2763
132	422	2757
133	425	2748
134	427	2738
135	429	2726
136	434	2734
137	436	2727
138	439	2720
139	441	2713
140	444	2705
141	445	2690
142	449	2695
143	452	2691
144	454	2681
145	456	2672
146	459	2664
147	461	2658
148	465	2658
149	467	2649
150	469	2639
151	471	2632
152	473	2621
153	475	2612
154	481	2626
155	483	2617
156	487	2618
157	494	2637
158	497	2630
159	500	2627
160	501	2614
161	504	2610
162	508	2608
163	511	2609
164	514	2602
165	517	2600
166	520	2595
167	527	2611
168	529	2603
169	531	2597
170	533	2588
171	540	2601
172	543	2599
173	546	2592
174	548	2584
175	550	2576
176	553	2573
177	558	2580
178	560	2572
179	562	2564
180	565	2558
181	570	2565
182	573	2561
183	576	2558
184	579	2553
185	581	2544
186	587	2552
187	593	2563
188	595	2554
189	597	2547
190	604	2561
191	606	2552
192	608	2543
193	609	2533
194	611	2525
195	622	2555
196	624	2545
197	626	2536
198	627	2527
199	629	2519
200	633	2518
201	635	2512
202	637	2503
203	639	2494
204	640	2484
205	642	2475
206	643	2466
207	647	2467
208	650	2460
209	651	2451
210	653	2442
211	654	2433
212	656	2423
213	657	2415
214	659	2406
215	661	2402
216	664	2397
217	666	2389
218	667	2380
219	669	2371
220	670	2363
221	672	2356
222	674	2348
223	676	2343
224	678	2335
225	679	2327
226	680	2318
227	682	2309
228	683	2301
229	684	2293
230	686	2285
231	688	2277
232	690	2271
233	692	2266
234	693	2258
235	695	2251
236	696	2243
237	698	2236
238	700	2229
239	701	2222
240	703	2215
241	707	2214
242	708	2208
243	710	2201
244	712	2195
245	713	2188
246	715	2181
247	717	2174
248	718	2167
249	721	2165
250	723	2158
251	724	2151
252	726	2144
253	727	2137
254	729	2130
255	730	2124
256	734	2122
257	737	2119
258	738	2113
259	740	2106
260	741	2100
261	744	2096
262	746	2090
263	747	2084
264	751	2083
265	752	2077
266	754	2071
267	755	2064
268	757	2058
269	759	2052
270	760	2046
271	762	2041
272	766	2039
273	767	2034
274	769	2028
275	771	2023
276	774	2020
277	775	2015
278	777	2009
279	781	2009
280	783	2004
281	785	1999
282	787	1993
283	789	1991
284	791	1986
285	793	1980
286	797	1980
287	798	1975
288	800	1969
289	802	1963
290	803	1957
291	805	1952
292	807	1947
293	808	1942
294	812	1940
295	813	1935
296	815	1930
297	817	1924
298	818	1919
299	820	1914
300	822	1909
301	823	1904
302	825	1900
303	827	1895
304	829	1889
305	830	1884
306	832	1879
307	833	1873
308	835	1868
309	837	1863
310	838	1858
311	840	1853
312	842	1848
313	844	1843
314	845	1838
315	847	1833
316	848	1828
317	850	1823
318	851	1818
319	853	1812
320	854	1807
321	856	1803
322	858	1799
323	860	1794
324	862	1790
325	864	1786
326	866	1783
327	870	1782
328	874	1783
329	876	1780
330	879	1776
331	881	1772
332	883	1769
333	887	1769
334	889	1766
335	892	1762
336	894	1760
337	897	1757
338	898	1752
339	901	1750
340	904	1747
341	905	1742
342	907	1737
343	908	1733
344	910	1728
345	911	1723
346	913	1718
347	914	1714
348	917	1711
349	919	1708
350	921	1703
351	923	1699
352	925	1695
353	926	1691
354	928	1686
355	930	1682
356	932	1679
357	934	1675
358	936	1671
359	937	1666
360	939	1662
361	940	1657
362	941	1652
363	943	1648
364	945	1645
365	948	1642
366	949	1638
367	951	1633
368	952	1629
369	954	1624
370	955	1620
371	957	1616
372	959	1613
373	962	1611
374	965	1608
375	966	1604
376	968	1599
377	969	1596
378	971	1592
379	973	1588
380	976	1587
381	979	1584
382	981	1581
383	984	1579
384	986	1575
385	988	1571
386	989	1567
387	993	1566
388	995	1563
389	997	1559
390	999	1556
391	1001	1552
392	1002	1549
393	1004	1545
394	1006	1541
395	1008	1538
396	1010	1534
397	1011	1530
398	1013	1526
399	1015	1522
400	1016	1518
401	1018	1514
402	1019	1510
403	1022	1508
404	1024	1504
405	1025	1500
406	1026	1495
407	1028	1492
408	1030	1488
409	1031	1484
410	1033	1480
411	1034	1476
412	1036	1473
413	1038	1470
414	1040	1466
415	1041	1462
416	1043	1458
417	1045	1456
418	1048	1453
419	1053	1454
420	1055	1451
421	1057	1447
422	1058	1444
423	1060	1440
424	1062	1437
425	1063	1433
426	1065	1430
427	1069	1428
428	1070	1425
429	1072	1421
430	1074	1418
431	1076	1415
432	1079	1413
433	1081	1410
434	1083	1407
435	1085	1404
436	1087	1400
437	1089	1397
438	1090	1393
439	1092	1390
